text,true_emotion,predicted_emotion
Season 3 and Charlie is still a prick! #lost,sadness,anger
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,sadness,joy
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,fear
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,fear
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness,sadness
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,sadness
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
It feel like we lost a family member🙄😂,sadness,joy
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,sadness
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
This world has some serious issues we should all go to therapy,sadness,sadness
